Empresa,Pais,Sitio_Web,Tipo_Institucion,Bloque_Nicho,Nombre_Contacto,Cargo,Email,Telefono,LinkedIn,Fuente,Confianza,Notas
Universidad de Asturias (Uniasturias),Colombia,asturias.edu.co,Institución universitaria virtual,A - Educación virtual y a distancia,,,info@uniasturias.edu.co,+57 1 7956999,,https://uniasturias.edu.co/,Email institucional,No se halló nombre público de responsable de admisiones/mercadeo; email institucional general.
Fundación Universitaria María Cano,Colombia,fumc.edu.co,Institución universitaria a distancia,A - Educación virtual y a distancia,,,promocion@fumc.edu.co,,,https://www.fumc.edu.co/contactenos/,Email institucional,Correo de promoción/admisiones publicado en sitio institucional; no se confirmó nombre de directivo.
Fundación Universitaria San Mateo,Colombia,sanmateo.edu.co,Institución universitaria,A - Educación virtual y a distancia,,,coordinacion.admisiones@sanmateo.edu.co,,,https://www.sanmateo.edu.co/docs/Directorio_presencial.pdf,Email institucional,Directorio institucional menciona cargo de Coordinadora de Admisiones pero sin nombre confirmado.
Politécnico de Colombia,Colombia,politecnicodecolombia.edu.co,Formación técnica virtual,A - Educación virtual y a distancia,,,admisiones@politecnicodecolombia.edu.co,,,https://politecnicodecolombia.edu.co/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Politécnico Superior de Colombia,Colombia,politecnicosuperior.edu.co,Formación técnica virtual,A - Educación virtual y a distancia,,,admisiones@politecnicosuperior.edu.co,+57 (604) 322 5109,,https://politecnicosuperior.edu.co/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Politécnico Internacional,Colombia,politecnicointernacional.edu.co,Institución de educación superior,A - Educación virtual y a distancia,,,info_admisiones@pi.edu.co,60-1-9145494,,https://politecnicointernacional.edu.co/aspirantes/,Email institucional,Sin nombre público de directivo; email de admisiones usa dominio alterno pi.edu.co.
UNIR Colombia,Colombia,unir.net,Universidad online,A - Educación virtual y a distancia,,,infocolombia@unir.net,+57 601 705 6500,,https://colombia.unir.net/,Email institucional,"Se hallaron vacantes para ""Director Desarrollo Negocio Institucional"" en Grupo PROEDUCA pero no titular actual confirmado; se usa correo institucional general."
Fundación Universitaria Compensar,Colombia,ucompensar.edu.co,Institución universitaria,A - Educación virtual y a distancia,,,aspirantes@ucompensar.edu.co,(601) 3380666,,https://ucompensar.edu.co/inscripciones/,Email institucional,No se confirmó nombre vigente de Director de Mercadeo/Admisiones; Margarita Áñez aparece asociada a mercadeo en el pasado pero su rol actual es distinto.
Fundación Universitaria Cafam (Unicafam),Colombia,unicafam.edu.co,Institución universitaria,A - Educación virtual y a distancia,,,admisiones@unicafam.edu.co,,,https://unicafam.edu.co/index.php/aspirantes/admisiones-pregrado/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Corporación Universitaria Americana,Colombia,americana.edu.co,Universidad privada,A - Educación virtual y a distancia,Milena Villarreal Maldonado,Directora de Mercadeo,,,,https://americanabaq.edu.co/wp-content/uploads/2024/08/Directorio-Institucional-2024.pdf,Contacto nombrado,Nombre y cargo tomados del Directorio Institucional 2024 (PDF público de la sede Barranquilla); no se localizó email individual ni LinkedIn públicos.
